year,MAR,count,
2019,1,7280605,
2019,2,705993,
2019,3,1241628,
2019,4,292748,
2019,5,8980571,
2020,1,7334461,
2020,2,743916,
2020,3,1273401,
2020,4,291728,
2020,5,8849283,
