"year","MAR","count"
2019,1,6920649.901
2019,2,752947.395
2019,3,1333088.595
2019,4,328700.451
2019,5,5898851.412
2020,1,6940654.585
2020,2,750132.271
2020,3,1334010.931
2020,4,315492.853
2020,5,5937839.606
