"year","TAZ","count"
2019,14000100,8.283835948
2020,14000100,7.106231792
2019,14001100,0.011411477
2020,14001100,0.019972275
2019,14001200,76.1121248
2020,14001200,79.41212427
2019,14001300,0.044335553
2020,14001300,0.068758985
2019,14002100,0.03410859
2020,14002100,0.03410859
2019,14002200,1.377271981
2020,14002200,1.156728335
2019,14003100,0.006613145
2020,14003100,0.018710349
2019,14003200,0.047725834
2020,14003200,0.044394058
2019,14003300,0.006613145
2020,14003300,0.018710349
2019,14003400,0.269481428
2020,14003400,0.310292943
2019,14003500,3.430329289
2020,14003500,3.359464426
2019,14003600,0
2020,14003600,0
2019,14003700,0.009496006
2020,14003700,0.009496006
2019,14003800,0
2020,14003800,0
2019,14004100,0.384607771
2020,14004100,0.10318355
2019,14004200,0.511317647
2020,14004200,0.525910778
2019,14004300,0
2020,14004300,0
2019,14005100,0.857093846
2020,14005100,0.772173931
2019,14005200,1.475659705
2020,14005200,1.947047387
2019,14006100,0
2020,14006100,0
2019,14006200,12.377283946
2020,14006200,12.07674842
2019,14007100,2.080583169
2020,14007100,1.975633366
2019,14007200,1.739736204
2020,14007200,1.569889326
2019,14007300,1.820843194
2020,14007300,1.83600497
2019,14008100,0.043952157
2020,14008100,0.04887303
2019,14009100,0.533338873
2020,14009100,0.294696673
2019,14010100,0.763128925
2020,14010100,0.863076597
2019,14010200,2.903437824
2020,14010200,3.571150147
2019,14010300,13.870603401
2020,14010300,14.132500515
2019,14010400,4.612881376
2020,14010400,3.936922803
2019,14011100,0.077940383
2020,14011100,0.077940383
2019,14011200,0.018820132
2020,14011200,0.018820132
2019,14012100,14.854017068
2020,14012100,13.872228381
2019,14012200,8.713814756
2020,14012200,9.123130288
2019,14013100,0.007930227
2020,14013100,0.007661933
2019,14013200,1.407502606
2020,14013200,1.405764856
2019,14013300,1.915776151
2020,14013300,2.825396024
2019,14014100,0.511246489
2020,14014100,0.331390573
2019,14014200,0.130311814
2020,14014200,0.169809984
2019,14014300,0.360752985
2020,14014300,0.319154817
2019,14015100,0.084417002
2020,14015100,0.05812704
2019,14015200,0.009267979
2020,14015200,0.009496006
2019,14016100,0.278344308
2020,14016100,0.329862252
2019,14016200,0.715101447
2020,14016200,0.320823432
2019,14016300,0.984958128
2020,14016300,0.960141598
2019,14017100,0.457199946
2020,14017100,0.457199946
2019,14017200,5.496652569
2020,14017200,4.803312809
2019,14018100,2.995908556
2020,14018100,3.0096032
2019,14018200,0.920622007
2020,14018200,0.931452638
2019,14019100,8.872786808
2020,14019100,9.008221665
2019,14019200,14.967188527
2020,14019200,15.29090378
2019,14019300,2.396389765
2020,14019300,2.50817126
2019,14020100,0.114897042
2020,14020100,0.092022668
2019,14021100,6.17964309
2020,14021100,6.649257743
2019,14021200,64.23445999
2020,14021200,62.03231273
2019,14021300,0.52864681
2020,14021300,0.52864681
2019,14022100,0
2020,14022100,0
2019,14022200,3.681296062
2020,14022200,3.906730578
2019,14022300,0.542691078
2020,14022300,0.724117052
2019,14022400,1.308900158
2020,14022400,2.261647799
2019,14022500,25.37408356
2020,14022500,25.64779426
2019,14023100,9.33178894
2020,14023100,9.011500878
2019,14024100,0.078645074
2020,14024100,0.07455721
2019,14024200,0.198203749
2020,14024200,0.147781362
2019,14024300,0.082307716
2020,14024300,0.160700494
2019,14025100,14.94056607
2020,14025100,15.450068483
2019,14025200,10.527325603
2020,14025200,11.112718991
2019,14026100,34.259233
2020,14026100,33.98506168
2019,14027100,13.351875609
2020,14027100,12.969870341
2019,14027200,13.59782548
2020,14027200,14.283111075
2019,14028100,19.312280408
2020,14028100,20.340852979
2019,14028200,25.286015324
2020,14028200,25.262555828
2019,14029100,24.86417954
2020,14029100,25.32744621
2019,14030100,0.017406872
2020,14030100,0.053968803
2019,14030200,2.208863405
2020,14030200,2.401039399
2019,14031100,14.595727284
2020,14031100,10.922512786
2019,14031200,10.905741545
2020,14031200,11.982945284
2019,14032100,15.784241282
2020,14032100,14.212400706
2019,14032200,12.994681946
2020,14032200,14.004371872
2019,14033100,25.416894235
2020,14033100,23.291042074
2019,14033200,5.592099671
2020,14033200,6.651920658
2019,14034100,5.59487831
2020,14034100,5.936979488
2019,14034200,19.821709984
2020,14034200,19.93685065
2019,14035100,19.285102043
2020,14035100,19.471513592
2019,14036100,0.976677697
2020,14036100,0.990756248
2019,14036200,39.256228883
2020,14036200,33.500017669
2019,14037100,2.34631912
2020,14037100,2.305556426
2019,14037200,2.944850966
2020,14037200,2.926054429
2019,14038100,0.373915741
2020,14038100,0.328637268
2019,14039100,21.142110715
2020,14039100,21.474934811
2019,14039200,21.776784767
2020,14039200,21.6847762
2019,14040100,12.289263346
2020,14040100,10.883275945
2019,14040200,37.12354804
2020,14040200,38.37078044
2019,14041100,7.589507373
2020,14041100,7.605190112
2019,14041200,6.33676239
2020,14041200,6.279160849
2019,14042100,15.934931973
2020,14042100,16.466578328
2019,14042200,8.19074
2020,14042200,7.551954343
2019,14043100,20.539307215
2020,14043100,20.677046239
2019,14043200,23.645991516
2020,14043200,21.179078535
2019,14043300,1.659781702
2020,14043300,1.693445294
2019,14044100,8.944113636
2020,14044100,9.620737367
2019,14044200,30.3529731
2020,14044200,27.39490249
2019,14045100,0.078612583
2020,14045100,0.083884392
2019,14045200,20.246111994
2020,14045200,21.269276715
2019,14046100,20.915915252
2020,14046100,21.297243786
2019,14047100,0.028374349
2020,14047100,0.031431155
2019,14047200,0.031963621
2020,14047200,0.031963621
2019,14047300,0.00346771
2020,14047300,0.00346771
2019,14047400,0.026051347
2020,14047400,0.027622599
2019,14047500,0.501336232
2020,14047500,0.369207734
2019,14048100,14.02883756
2020,14048100,14.024865655
2019,14048200,5.96388836
2020,14048200,5.739730096
2019,14049100,17.380380081
2020,14049100,17.072437651
2019,14050100,4.020443165
2020,14050100,3.994961549
2019,14050200,0.053968803
2020,14050200,0.053968803
2019,14051100,17.263355269
2020,14051100,21.65553208
2019,14051200,24.51369558
2020,14051200,22.97278061
2019,14052100,0
2020,14052100,0
2019,14052200,0.146336896
2020,14052200,0.09895446
2019,14053100,0.163737442
2020,14053100,0.107807675
2019,14053200,0.542500287
2020,14053200,0.070802945
2019,14054100,19.16628415
2020,14054100,19.963314766
2019,14055100,14.238651415
2020,14055100,16.204275996
2019,14055200,4.490245286
2020,14055200,3.854261597
2019,14056100,11.78264694
2020,14056100,11.509217975
2019,14056200,6.891229094
2020,14056200,5.678120445
2019,14057100,2.318606047
2020,14057100,1.298740357
2019,14058100,36.73949264
2020,14058100,37.582094
2019,14058200,13.5616451
2020,14058200,13.180571029
2019,14059100,0.202154713
2020,14059100,0.214245334
2019,14059200,44.726136326
2020,14059200,45.512195418
2019,14059300,0.978350743
2020,14059300,0.828215105
2019,14059400,1.046409793
2020,14059400,1.076600945
2019,14060100,24.60960548
2020,14060100,25.84346398
2019,14060200,11.610586775
2020,14060200,12.5876786
2019,14061100,0.009267979
2020,14061100,0.009267979
2019,14061200,1.415839121
2020,14061200,1.551590573
2019,14062100,8.933805211
2020,14062100,9.156677744
2019,14063100,0.014364265
2020,14063100,0.037879649
2019,14063200,0.239111573
2020,14063200,0.294143328
2019,14063300,0
2020,14063300,0
2019,14063400,0.00655536
2020,14063400,0.00655536
2019,14063500,16.767534757
2020,14063500,17.099727173
2019,14063600,18.302252191
2020,14063600,17.431633371
2019,14064100,11.98264989
2020,14064100,12.149182257
2019,14064200,13.595128957
2020,14064200,14.971939142
2019,14065100,0.409523949
2020,14065100,0.383122802
2019,14065200,0
2020,14065200,0
2019,14066100,15.2425511
2020,14066100,16.075403558
2019,14066200,0
2020,14066200,0
2019,14067100,15.896588197
2020,14067100,15.347059419
2019,14067200,16.112945282
2020,14067200,16.288624774
2019,14068100,0
2020,14068100,0
2019,14068200,0.365410176
2020,14068200,0.12164035
2019,14068300,3.430230335
2020,14068300,3.211484979
2019,14068400,0.043530575
2020,14068400,0.043530575
2019,14068500,0.031963621
2020,14068500,0.020504406
2019,14069100,15.328448843
2020,14069100,15.999253008
2019,14069200,3.37044214
2020,14069200,2.906543004
2019,14070100,8.61255091
2020,14070100,8.059224186
2019,14071100,5.82079642
2020,14071100,6.257676101
2019,14071200,2.37077718
2020,14071200,2.347837674
2019,14072100,16.89456045
2020,14072100,17.394845781
2019,14073100,9.634266562
2020,14073100,8.878086777
2019,14073200,31.447935148
2020,14073200,30.45505111
2019,14074100,13.526822345
2020,14074100,14.321749577
2019,14075100,0.24430727
2020,14075100,0.813057997
2019,14075200,0.441077731
2020,14075200,0.893402113
2019,14075300,0.067512263
2020,14075300,0.008831478
2019,14076100,8.905618101
2020,14076100,9.167520466
2019,14076200,31.96424276
2020,14076200,32.36505832
2019,14077100,18.682985852
2020,14077100,18.95772772
2019,14077200,0
2020,14077200,0
2019,14077300,31.02996173
2020,14077300,33.04027089
2019,14077400,42.5870821
2020,14077400,37.10442141
2019,14078100,12.805795279
2020,14078100,13.375725659
2019,14078200,20.385536645
2020,14078200,20.850810496
2019,14079100,15.968154171
2020,14079100,16.341310366
2019,14079200,12.631267824
2020,14079200,12.985128789
2019,14079300,0
2020,14079300,0
2019,14080100,0.085066432
2020,14080100,0.135655616
2019,14080200,0.918208982
2020,14080200,0.939969774
2019,14081100,0.710340048
2020,14081100,0.653178017
2019,14082100,0.424135981
2020,14082100,0.456286243
2019,14083100,0.193020754
2020,14083100,0.156054124
2019,14083200,0.142738076
2020,14083200,0.080855989
2019,14084100,0.00655536
2020,14084100,0.00655536
2019,14084200,0.031284062
2020,14084200,0.047214711
2019,14084300,0.30951825
2020,14084300,0.405698286
2019,14084400,0
2020,14084400,0
2019,14084500,0.159448338
2020,14084500,0.157059104
2019,14085100,1.134425274
2020,14085100,1.075062284
2019,14085200,0.248517065
2020,14085200,0.273058307
2019,14086100,0.146364013
2020,14086100,0.175222069
2019,14086200,1.252486341
2020,14086200,0.414876589
2019,14086300,0
2020,14086300,0
2019,14087100,0.033108564
2020,14087100,0.028764986
2019,14088100,0.047933876
2020,14088100,0.044998285
2019,14088200,0.10989374
2020,14088200,0.119734475
2019,14088300,0.230205765
2020,14088300,0.285849937
2019,14089100,1.048213287
2020,14089100,1.319197366
2019,14089200,0.975912747
2020,14089200,0.935492831
2019,14090100,0.403538088
2020,14090100,0.288903949
2019,14090200,0.009965883
2020,14090200,0.023840329
2019,14090300,0
2020,14090300,0
2019,14091100,1.332687766
2020,14091100,1.005901851
2019,14091200,2.681199209
2020,14091200,2.555560898
2019,14092100,0.153933314
2020,14092100,0.123129649
2019,14093100,21.418657913
2020,14093100,20.504342803
2019,14094100,1.12803461
2020,14094100,0.282343787
2019,14094200,1.035346939
2020,14094200,1.002858124
2019,14095100,2.374181398
2020,14095100,2.677745452
2019,14095200,2.197289076
2020,14095200,2.49708431
