"year","TAZ","count"
2019,14000100,7.592859776
2020,14000100,7.552620547
2019,14001100,0.063288957
2020,14001100,0.063288957
2019,14001200,68.22276889
2020,14001200,64.53956934
2019,14001300,0.147998414
2020,14001300,0.112584393
2019,14002100,0.172542996
2020,14002100,0.172542996
2019,14002200,1.412511358
2020,14002200,1.359389137
2019,14003100,0.079678355
2020,14003100,0
2019,14003200,0.031893575
2020,14003200,0.014094707
2019,14003300,0.079678355
2020,14003300,0
2019,14003400,0.557033125
2020,14003400,0.506274122
2019,14003500,1.681840737
2020,14003500,1.703907568
2019,14003600,0
2020,14003600,0
2019,14003700,0.079678355
2020,14003700,0.079678355
2019,14003800,0
2020,14003800,0
2019,14004100,0.127987384
2020,14004100,0.18413356
2019,14004200,0.446841944
2020,14004200,0.446841944
2019,14004300,0
2020,14004300,0
2019,14005100,0.62249663
2020,14005100,0.647144114
2019,14005200,1.467094983
2020,14005200,1.119360385
2019,14006100,0
2020,14006100,0
2019,14006200,1.91995062
2020,14006200,1.903647817
2019,14007100,0.755864826
2020,14007100,0.861433868
2019,14007200,1.172183097
2020,14007200,1.196770397
2019,14007300,1.337733422
2020,14007300,1.342528849
2019,14008100,0.265430837
2020,14008100,0.251336131
2019,14009100,0.43032439
2020,14009100,0.520956324
2019,14010100,2.151362336
2020,14010100,2.456427309
2019,14010200,2.482901728
2020,14010200,2.660679664
2019,14010300,21.83362795
2020,14010300,21.23692048
2019,14010400,3.688631603
2020,14010400,3.695723751
2019,14011100,0.018811332
2020,14011100,0.018811332
2019,14011200,0
2020,14011200,0
2019,14012100,13.1111682
2020,14012100,13.05516912
2019,14012200,9.315737803
2020,14012200,9.888927033
2019,14013100,0.064698427
2020,14013100,0.064698427
2019,14013200,0.968645914
2020,14013200,1.12187812
2019,14013300,0.842195198
2020,14013300,0.664505719
2019,14014100,0.416211086
2020,14014100,0.430305793
2019,14014200,0.335677332
2020,14014200,0.266316058
2019,14014300,0.703945461
2020,14014300,0.873247566
2019,14015100,0.143073948
2020,14015100,0.112589844
2019,14015200,0.084842252
2020,14015200,0.079678355
2019,14016100,0.389293119
2020,14016100,0.287497668
2019,14016200,0.014094707
2020,14016200,0.103204922
2019,14016300,0.068831412
2020,14016300,0.014094707
2019,14017100,0.230826348
2020,14017100,0.230826348
2019,14017200,2.796200817
2020,14017200,2.765366833
2019,14018100,1.721119954
2020,14018100,1.919161301
2019,14018200,0.417646453
2020,14018200,0.538095144
2019,14019100,9.979761116
2020,14019100,9.706839561
2019,14019200,24.50586645
2020,14019200,24.03173521
2019,14019300,5.353625595
2020,14019300,4.984125
2019,14020100,1.250672283
2020,14020100,1.236066224
2019,14021100,11.62871461
2020,14021100,11.82412915
2019,14021200,58.69271638
2020,14021200,57.35798663
2019,14021300,0.239850593
2020,14021300,0.239850593
2019,14022100,0
2020,14022100,0
2019,14022200,8.601052996
2020,14022200,8.196569943
2019,14022300,1.589699205
2020,14022300,2.931128611
2019,14022400,2.149729353
2020,14022400,2.210698736
2019,14022500,32.38215615
2020,14022500,32.13095669
2019,14023100,7.382621247
2020,14023100,7.743998916
2019,14024100,0.021386395
2020,14024100,0.021386395
2019,14024200,0.054736705
2020,14024200,0.054736705
2019,14024300,0.334898147
2020,14024300,0.448790824
2019,14025100,15.41324972
2020,14025100,14.63731152
2019,14025200,13.94447107
2020,14025200,13.57127979
2019,14026100,36.44094651
2020,14026100,34.79859951
2019,14027100,17.16701677
2020,14027100,17.17045992
2019,14027200,17.8224208
2020,14027200,17.24809478
2019,14028100,15.18241808
2020,14028100,15.05878978
2019,14028200,26.45547586
2020,14028200,25.42551353
2019,14029100,14.6534089
2020,14029100,14.88449439
2019,14030100,0
2020,14030100,0.098936959
2019,14030200,5.06312606
2020,14030200,5.085248767
2019,14031100,19.25374504
2020,14031100,19.79908603
2019,14031200,28.11170624
2020,14031200,27.48268213
2019,14032100,17.92455106
2020,14032100,17.71110567
2019,14032200,19.34380719
2020,14032200,18.62861408
2019,14033100,22.14409916
2020,14033100,22.37569999
2019,14033200,8.57290159
2020,14033200,8.049691452
2019,14034100,6.578460504
2020,14034100,6.726412003
2019,14034200,20.98265897
2020,14034200,21.2311733
2019,14035100,9.796650171
2020,14035100,9.830750337
2019,14036100,1.262266845
2020,14036100,1.287716418
2019,14036200,41.66489999
2020,14036200,40.44299043
2019,14037100,3.317576832
2020,14037100,3.200669568
2019,14037200,10.37829315
2020,14037200,10.2975803
2019,14038100,0.089110215
2020,14038100,0.306232022
2019,14039100,25.28727799
2020,14039100,24.70860283
2019,14039200,20.41595144
2020,14039200,19.17305555
2019,14040100,15.54861447
2020,14040100,15.19365554
2019,14040200,27.11759181
2020,14040200,26.15708225
2019,14041100,6.747576376
2020,14041100,6.477262455
2019,14041200,5.633912703
2020,14041200,5.869506636
2019,14042100,11.41382242
2020,14042100,11.39329484
2019,14042200,7.203854014
2020,14042200,6.784238754
2019,14043100,36.29554871
2020,14043100,35.91532816
2019,14043200,21.16759923
2020,14043200,21.20807848
2019,14043300,3.180598973
2020,14043300,3.165275432
2019,14044100,21.72286569
2020,14044100,21.22929118
2019,14044200,23.24239533
2020,14044200,22.55807918
2019,14045100,0.145368639
2020,14045100,0.208657596
2019,14045200,28.46878911
2020,14045200,24.7329448
2019,14046100,27.5137474
2020,14046100,27.8251664
2019,14047100,0.107391304
2020,14047100,0
2019,14047200,0
2020,14047200,0
2019,14047300,0
2020,14047300,0
2019,14047400,0.066107898
2020,14047400,0.002818941
2019,14047500,0.45383236
2020,14047500,0.610515821
2019,14048100,24.89789805
2020,14048100,25.78836448
2019,14048200,5.126949038
2020,14048200,5.167441981
2019,14049100,14.66419226
2020,14049100,14.65450655
2019,14050100,7.85929236
2020,14050100,7.435212459
2019,14050200,0.098936959
2020,14050200,0.098936959
2019,14051100,18.53660039
2020,14051100,17.93387257
2019,14051200,22.19620789
2020,14051200,21.49320174
2019,14052100,0
2020,14052100,0
2019,14052200,0.136645671
2020,14052200,0.273405687
2019,14053100,0.996222664
2020,14053100,1.041284779
2019,14053200,0.063288957
2020,14053200,0.007969067
2019,14054100,26.19997633
2020,14054100,25.0482603
2019,14055100,17.82796578
2020,14055100,18.26159386
2019,14055200,9.053478868
2020,14055200,8.623491233
2019,14056100,14.63061284
2020,14056100,14.45524483
2019,14056200,22.13179239
2020,14056200,21.78254039
2019,14057100,1.402881201
2020,14057100,1.362965236
2019,14058100,29.84229253
2020,14058100,30.00520386
2019,14058200,21.40964833
2020,14058200,20.63919124
2019,14059100,0.487759634
2020,14059100,0.522133143
2019,14059200,18.64575597
2020,14059200,19.22747613
2019,14059300,3.375689982
2020,14059300,3.603355776
2019,14059400,0.904630463
2020,14059400,1.020116007
2019,14060100,23.07669318
2020,14060100,22.95592788
2019,14060200,22.68523298
2020,14060200,21.56189356
2019,14061100,0.084842252
2020,14061100,0.084842252
2019,14061200,5.044820568
2020,14061200,5.086114301
2019,14062100,6.720296552
2020,14062100,6.6893977
2019,14063100,0.255975778
2020,14063100,0.172542996
2019,14063200,0.323927581
2020,14063200,0.461211848
2019,14063300,0
2020,14063300,0
2019,14063400,0.152399172
2020,14063400,0.152399172
2019,14063500,31.00720504
2020,14063500,30.55808195
2019,14063600,13.63227683
2020,14063600,13.29133017
2019,14064100,22.12184684
2020,14064100,22.14475239
2019,14064200,21.33227322
2020,14064200,20.5651756
2019,14065100,2.199006472
2020,14065100,2.380878019
2019,14065200,0
2020,14065200,0
2019,14066100,26.86591703
2020,14066100,25.81711273
2019,14066200,0
2020,14066200,0
2019,14067100,14.14191754
2020,14067100,14.74743445
