"year","TAZ","count"
2019,14066200,0
2020,14066200,0
2019,14067100,1214
2020,14067100,1218
2019,14067200,1793
2020,14067200,1798
2019,14068100,0
2020,14068100,0
2019,14068200,6
2020,14068200,5
2019,14068300,227
2020,14068300,218
2019,14068400,9
2020,14068400,9
2019,14068500,2
2020,14068500,8
2019,14069100,1966
2020,14069100,1950
2019,14069200,445
2020,14069200,449
2019,14070100,502
2020,14070100,508
2019,14071100,674
2020,14071100,654
2019,14071200,109
2020,14071200,103
2019,14072100,1893
2020,14072100,1888
2019,14073100,1092
2020,14073100,1102
2019,14073200,1902
2020,14073200,1879
2019,14074100,806
2020,14074100,814
2019,14075100,25
2020,14075100,26
2019,14075200,32
2020,14075200,28
2019,14075300,9
2020,14075300,11
2019,14076100,1469
2020,14076100,1444
2019,14076200,3838
2020,14076200,3810
2019,14077100,992
2020,14077100,978
2019,14077200,0
2020,14077200,0
2019,14077300,4672
2020,14077300,4719
2019,14077400,4713
2020,14077400,4695
2019,14078100,1868
2020,14078100,1859
2019,14078200,2097
2020,14078200,2094
2019,14079100,2416
2020,14079100,2408
2019,14079200,2165
2020,14079200,2162
2019,14079300,0
2020,14079300,0
2019,14080100,15
2020,14080100,19
2019,14080200,150
2020,14080200,151
2019,14081100,245
2020,14081100,250
2019,14082100,186
2020,14082100,188
2019,14083100,52
2020,14083100,50
2019,14083200,34
2020,14083200,32
2019,14084100,4
2020,14084100,4
2019,14084200,4
2020,14084200,4
2019,14084300,51
2020,14084300,51
2019,14084400,0
2020,14084400,0
2019,14084500,28
2020,14084500,27
2019,14085100,42
2020,14085100,44
2019,14085200,49
2020,14085200,45
2019,14086100,31
2020,14086100,33
2019,14086200,84
2020,14086200,75
2019,14086300,0
2020,14086300,0
2019,14087100,12
2020,14087100,10
2019,14088100,20
2020,14088100,15
2019,14088200,9
2020,14088200,9
2019,14088300,26
2020,14088300,27
2019,14089100,42
2020,14089100,37
2019,14089200,34
2020,14089200,24
2019,14090100,68
2020,14090100,66
2019,14090200,2
2020,14090200,2
2019,14090300,0
2020,14090300,0
2019,14091100,61
2020,14091100,56
2019,14091200,73
2020,14091200,55
2019,14092100,52
2020,14092100,49
2019,14093100,1861
2020,14093100,1828
2019,14094100,59
2020,14094100,52
2019,14094200,49
2020,14094200,41
2019,14095100,387
