"year","TAZ","count"
2019,14000100,262
2020,14000100,262
2019,14001100,3
2020,14001100,3
2019,14001200,1812
2020,14001200,1812
2019,14001300,7
2020,14001300,7
2019,14002100,2
2020,14002100,2
2019,14002200,46
2020,14002200,46
2019,14003100,1
2020,14003100,1
2019,14003200,2
2020,14003200,2
2019,14003300,1
2020,14003300,1
2019,14003400,7
2020,14003400,7
2019,14003500,104
2020,14003500,104
2019,14003600,0
2020,14003600,0
2019,14003700,1
2020,14003700,1
2019,14003800,0
2020,14003800,0
2019,14004100,12
2020,14004100,12
2019,14004200,14
2020,14004200,14
2019,14004300,0
2020,14004300,0
2019,14005100,32
2020,14005100,32
2019,14005200,52
2020,14005200,52
2019,14006100,0
2020,14006100,0
2019,14006200,261
2020,14006200,261
2019,14007100,18
2020,14007100,18
2019,14007200,79
2020,14007200,79
2019,14007300,30
2020,14007300,30
2019,14008100,9
2020,14008100,9
2019,14009100,24
2020,14009100,24
2019,14010100,56
2020,14010100,56
2019,14010200,108
2020,14010200,108
2019,14010300,479
2020,14010300,479
2019,14010400,107
2020,14010400,107
2019,14011100,4
2020,14011100,4
2019,14011200,1
2020,14011200,1
2019,14012100,373
2020,14012100,373
2019,14012200,273
2020,14012200,273
2019,14013100,2
2020,14013100,2
2019,14013200,64
2020,14013200,64
2019,14013300,37
2020,14013300,37
2019,14014100,23
2020,14014100,23
2019,14014200,8
2020,14014200,8
2019,14014300,15
2020,14014300,15
2019,14015100,8
2020,14015100,8
2019,14015200,1
2020,14015200,1
2019,14016100,9
2020,14016100,9
2019,14016200,17
2020,14016200,17
2019,14016300,22
2020,14016300,22
2019,14017100,6
2020,14017100,6
2019,14017200,75
2020,14017200,75
2019,14018100,87
2020,14018100,91
2019,14018200,20
2020,14018200,20
2019,14019100,385
2020,14019100,385
2019,14019200,715
2020,14019200,715
2019,14019300,135
2020,14019300,135
2019,14020100,19
2020,14020100,19
2019,14021100,321
2020,14021100,321
2019,14021200,1328
2020,14021200,1358
2019,14021300,5
2020,14021300,5
2019,14022100,0
2020,14022100,0
2019,14022200,423
2020,14022200,423
2019,14022300,51
2020,14022300,80
2019,14022400,62
2020,14022400,62
2019,14022500,855
2020,14022500,857
2019,14023100,185
2020,14023100,185
2019,14024100,5
2020,14024100,5
2019,14024200,10
2020,14024200,10
2019,14024300,9
2020,14024300,9
2019,14025100,563
2020,14025100,563
2019,14025200,413
2020,14025200,413
2019,14026100,914
2020,14026100,914
2019,14027100,480
2020,14027100,480
2019,14027200,496
2020,14027200,496
2019,14028100,485
2020,14028100,485
2019,14028200,728
2020,14028200,728
2019,14029100,568
2020,14029100,568
2019,14030100,2
2020,14030100,2
2019,14030200,123
2020,14030200,123
2019,14031100,447
2020,14031100,451
2019,14031200,656
2020,14031200,656
2019,14032100,447
2020,14032100,447
2019,14032200,407
2020,14032200,407
2019,14033100,648
2020,14033100,648
2019,14033200,230
2020,14033200,230
2019,14034100,215
2020,14034100,215
2019,14034200,588
2020,14034200,588
2019,14035100,312
2020,14035100,312
2019,14036100,12
2020,14036100,12
2019,14036200,814
2020,14036200,819
2019,14037100,200
2020,14037100,200
2019,14037200,230
2020,14037200,230
2019,14038100,22
2020,14038100,23
2019,14039100,720
2020,14039100,720
2019,14039200,617
2020,14039200,617
2019,14040100,297
2020,14040100,297
2019,14040200,849
2020,14040200,849
2019,14041100,294
2020,14041100,294
2019,14041200,235
2020,14041200,235
2019,14042100,337
2020,14042100,337
2019,14042200,190
2020,14042200,190
2019,14043100,966
2020,14043100,967
2019,14043200,496
2020,14043200,496
2019,14043300,177
2020,14043300,177
2019,14044100,461
2020,14044100,461
2019,14044200,702
2020,14044200,712
2019,14045100,8
2020,14045100,8
2019,14045200,605
2020,14045200,605
2019,14046100,731
2020,14046100,756
2019,14047100,3
2020,14047100,3
2019,14047200,1
2020,14047200,1
2019,14047300,1
2020,14047300,1
2019,14047400,8
2020,14047400,8
2019,14047500,24
2020,14047500,24
2019,14048100,580
2020,14048100,580
2019,14048200,188
2020,14048200,188
2019,14049100,428
2020,14049100,428
2019,14050100,182
2020,14050100,182
2019,14050200,2
2020,14050200,2
2019,14051100,506
2020,14051100,553
2019,14051200,553
2020,14051200,553
2019,14052100,0
2020,14052100,0
2019,14052200,4
2020,14052200,4
2019,14053100,15
2020,14053100,15
2019,14053200,5
2020,14053200,5
2019,14054100,771
2020,14054100,779
2019,14055100,552
2020,14055100,586
2019,14055200,227
2020,14055200,227
2019,14056100,391
2020,14056100,391
2019,14056200,366
2020,14056200,366
2019,14057100,25
2020,14057100,25
2019,14058100,847
2020,14058100,847
2019,14058200,547
2020,14058200,547
2019,14059100,11
2020,14059100,11
2019,14059200,473
2020,14059200,503
2019,14059300,85
2020,14059300,88
2019,14059400,18
2020,14059400,18
2019,14060100,699
2020,14060100,699
2019,14060200,549
2020,14060200,549
2019,14061100,1
2020,14061100,1
2019,14061200,102
2020,14061200,102
2019,14062100,274
2020,14062100,274
2019,14063100,6
2020,14063100,6
2019,14063200,16
2020,14063200,16
2019,14063300,0
2020,14063300,0
2019,14063400,1
2020,14063400,1
2019,14063500,700
2020,14063500,700
2019,14063600,256
2020,14063600,258
2019,14064100,552
2020,14064100,552
2019,14064200,482
2020,14064200,488
2019,14065100,51
2020,14065100,51
2019,14065200,0
2020,14065200,0
2019,14066100,553
2020,14066100,556
2019,14066200,0
2020,14066200,0
2019,14067100,291
2020,14067100,291
2019,14067200,454
2020,14067200,460
2019,14068100,0
2020,14068100,0
2019,14068200,1
2020,14068200,1
2019,14068300,81
2020,14068300,81
2019,14068400,3
2020,14068400,3
2019,14068500,1
2020,14068500,5
2019,14069100,520
2020,14069100,523
2019,14069200,100
2020,14069200,100
2019,14070100,147
2020,14070100,147
2019,14071100,188
2020,14071100,188
2019,14071200,28
2020,14071200,28
2019,14072100,606
2020,14072100,606
2019,14073100,280
2020,14073100,280
2019,14073200,522
2020,14073200,522
2019,14074100,352
2020,14074100,352
2019,14075100,15
2020,14075100,15
2019,14075200,20
2020,14075200,20
2019,14075300,5
2020,14075300,5
2019,14076100,365
2020,14076100,365
2019,14076200,1014
2020,14076200,1014
2019,14077100,215
2020,14077100,215
2019,14077200,0
2020,14077200,0
2019,14077300,1354
2020,14077300,1437
2019,14077400,1132
2020,14077400,1139
2019,14078100,565
2020,14078100,565
2019,14078200,563
2020,14078200,570
2019,14079100,556
2020,14079100,556
2019,14079200,475
2020,14079200,475
2019,14079300,0
2020,14079300,0
2019,14080100,4
2020,14080100,4
2019,14080200,57
2020,14080200,57
2019,14081100,69
2020,14081100,69
2019,14082100,52
2020,14082100,52
2019,14083100,16
2020,14083100,16
2019,14083200,8
2020,14083200,8
2019,14084100,1
2020,14084100,1
2019,14084200,2
2020,14084200,2
2019,14084300,10
2020,14084300,10
2019,14084400,0
2020,14084400,0
2019,14084500,8
2020,14084500,8
2019,14085100,21
2020,14085100,21
2019,14085200,15
2020,14085200,15
2019,14086100,13
2020,14086100,13
2019,14086200,43
2020,14086200,43
2019,14086300,0
2020,14086300,0
2019,14087100,4
2020,14087100,4
2019,14088100,3
2020,14088100,3
2019,14088200,9
2020,14088200,9
2019,14088300,13
2020,14088300,13
2019,14089100,12
2020,14089100,12
2019,14089200,13
2020,14089200,13
2019,14090100,30
2020,14090100,30
2019,14090200,1
2020,14090200,1
2019,14090300,0
2020,14090300,0
2019,14091100,26
2020,14091100,26
2019,14091200,21
2020,14091200,21
2019,14092100,20
2020,14092100,20
2019,14093100,571
2020,14093100,571
2019,14094100,13
2020,14094100,13
2019,14094200,13
2020,14094200,13
2019,14095100,134
2020,14095100,138
2019,14095200,100
2020,14095200,104
2019,14096100,30
2020,14096100,30
2019,14096200,20
2020,14096200,20
2019,14097100,751
2020,14097100,751
2019,14097200,423
2020,14097200,430
2019,14098100,126
2020,14098100,126
2019,14098200,67
2020,14098200,67
2019,14099100,10
2020,14099100,10
2019,14100100,23
2020,14100100,23
2019,14101100,10
2020,14101100,10
2019,14101200,15
2020,14101200,15
2019,14102100,21
2020,14102100,21
2019,14103100,28
2020,14103100,28
2019,14104100,16
2020,14104100,16
2019,14105100,0
2020,14105100,0
2019,14105200,6
2020,14105200,6
2019,14106100,1
2020,14106100,1
2019,14106200,1
2020,14106200,1
2019,14106300,1
2020,14106300,1
2019,14106400,2
2020,14106400,2
2019,14106500,25
2020,14106500,25
2019,14107100,94
2020,14107100,94
2019,14107200,0
2020,14107200,0
2019,14108100,29
2020,14108100,29
2019,14109100,335
2020,14109100,335
2019,14109200,470
2020,14109200,470
2019,14109300,117
2020,14109300,117
2019,20211100,713
2020,20211100,713
2019,20212100,780
2020,20212100,784
2019,20212200,694
2020,20212200,694
2019,20213100,210
2020,20213100,211
2019,20213200,257
2020,20213200,257
2019,20213300,597
2020,20213300,597
2019,20214100,420
2020,20214100,420
2019,20214200,466
2020,20214200,466
2019,20214300,408
2020,20214300,408
2019,20214400,369
2020,20214400,369
2019,20214500,373
2020,20214500,373
2019,20214600,371
2020,20214600,371
2019,20214700,3
2020,20214700,40
2019,20215100,344
2020,20215100,344
2019,20215200,697
2020,20215200,704
2019,20215300,1335
2020,20215300,1335
2019,20216100,1510
2020,20216100,1519
2019,20216200,756
2020,20216200,756
2019,20216300,293
2020,20216300,293
2019,20216400,313
2020,20216400,315
2019,20217100,387
2020,20217100,387
2019,20217200,624
2020,20217200,624
2019,20217300,1046
2020,20217300,1046
2019,20217400,425
2020,20217400,425
2019,20217500,437
2020,20217500,437
2019,20218100,351
2020,20218100,351
2019,20218200,1688
2020,20218200,1688
2019,20219100,628
2020,20219100,628
2019,20219200,1591
2020,20219200,1591
2019,20220100,931
2020,20220100,931
2019,20220200,762
2020,20220200,800
2019,20221100,1055
2020,20221100,1055
2019,20221200,938
2020,20221200,938
2019,20221300,894
2020,20221300,894
2019,20222100,381
2020,20222100,381
2019,20222200,681
2020,20222200,681
2019,20222300,894
2020,20222300,894
2019,20403200,900
2020,20403200,901
2019,20732100,679
2020,20732100,680
2019,20733100,396
2020,20733100,396
2019,20733200,525
2020,20733200,525
2019,20733300,1066
2020,20733300,1066
2019,20733400,358
2020,20733400,358
2019,20734100,581
2020,20734100,581
2019,20735100,669
2020,20735100,669
2019,20736100,345
2020,20736100,345
2019,20737100,540
2020,20737100,540
2019,20737200,781
2020,20737200,781
2019,20738100,1290
2020,20738100,1293
2019,20739100,1317
2020,20739100,1321
2019,20739200,595
2020,20739200,597
2019,20739300,670
2020,20739300,671
2019,20740100,1650
2020,20740100,1658
2019,20741100,1353
2020,20741100,1355
2019,20223100,856
2020,20223100,863
2019,20224100,902
2020,20224100,934
2019,20224200,2
2020,20224200,2
2019,20225100,3934
2020,20225100,3939
2019,20226100,4358
2020,20226100,4690
2019,20227100,2708
2020,20227100,2713
2019,20228100,0
2020,20228100,0
2019,20230100,1719
2020,20230100,1764
2019,20247100,2135
2020,20247100,2136
2019,20250100,599
2020,20250100,613
2019,20250200,786
2020,20250200,798
2019,20259100,840
2020,20259100,843
2019,20259200,1335
2020,20259200,1341
2019,20262100,1381
2020,20262100,1392
2019,20264100,84
2020,20264100,84
2019,20271100,170
2020,20271100,172
2019,20273100,119
2020,20273100,124
2019,20275100,0
2020,20275100,0
2019,20277100,48
2020,20277100,48
2019,20277200,1095
2020,20277200,1112
2019,20278100,824
2020,20278100,863
2019,20279100,9
2020,20279100,9
2019,20280100,137
2020,20280100,527
2019,20281100,102
2020,20281100,102
2019,20281200,58
2020,20281200,58
2019,20281300,36
2020,20281300,36
2019,20281400,86
2020,20281400,86
2019,20282100,43
2020,20282100,43
2019,20283100,177
2020,20283100,177
2019,20284100,207
2020,20284100,207
2019,20284200,651
2020,20284200,651
2019,20285100,11
2020,20285100,11
2019,20285200,10
2020,20285200,10
2019,20285300,7
2020,20285300,7
2019,20286100,1
2020,20286100,1
2019,20286200,1
2020,20286200,1
2019,20286300,1
2020,20286300,1
2019,20286400,1
2020,20286400,1
2019,20286500,1
2020,20286500,1
2019,20287100,430
2020,20287100,430
2019,20287200,15
2020,20287200,15
2019,20288100,547
2020,20288100,547
2019,20288200,0
2020,20288200,0
2019,20288300,7
2020,20288300,7
2019,20288400,178
2020,20288400,178
2019,20288500,392
2020,20288500,392
2019,20288600,192
2020,20288600,193
2019,20288700,29
2020,20288700,29
2019,20316100,16
2020,20316100,16
2019,20316200,12
2020,20316200,12
2019,20316300,12
2020,20316300,12
2019,20316400,74
2020,20316400,74
2019,20316500,1
2020,20316500,1
2019,20316600,14
2020,20316600,14
2019,20324100,1
2020,20324100,1
2019,20324200,4
2020,20324200,4
2019,20324300,0
2020,20324300,0
2019,20324400,5
2020,20324400,5
2019,20324500,16
2020,20324500,16
2019,20329100,10
2020,20329100,10
2019,20329200,4
2020,20329200,4
2019,20329300,3
2020,20329300,3
2019,20329400,1
2020,20329400,1
2019,20329500,14
2020,20329500,14
2019,20329600,2
2020,20329600,2
2019,20330100,109
2020,20330100,109
2019,20330200,7
2020,20330200,7
2019,20330300,180
2020,20330300,180
2019,20330400,575
2020,20330400,575
2019,20330500,3
2020,20330500,3
2019,20330600,19
2020,20330600,19
2019,20330700,49
2020,20330700,49
2019,20330800,104
2020,20330800,104
2019,20330900,4
2020,20330900,4
2019,20331100,7
2020,20331100,7
2019,20331200,4
2020,20331200,4
2019,20332100,26
2020,20332100,26
2019,20332200,13
2020,20332200,13
2019,20332300,3
2020,20332300,3
2019,20332400,1
2020,20332400,1
2019,20332500,0
2020,20332500,0
2019,20332600,0
2020,20332600,0
2019,20333100,3
2020,20333100,3
2019,20333200,1
2020,20333200,1
2019,20333300,26
2020,20333300,26
2019,20333400,2
2020,20333400,2
2019,20333500,2
2020,20333500,2
2019,20333600,19
2020,20333600,19
2019,20333700,1
2020,20333700,1
2019,20333800,2
2020,20333800,2
2019,20333900,0
2020,20333900,0
2019,20334100,19
2020,20334100,19
2019,20334200,0
2020,20334200,0
2019,20334300,30
2020,20334300,30
2019,20334400,13
2020,20334400,13
2019,20334500,5
2020,20334500,5
2019,20334600,10
2020,20334600,10
2019,20334700,14
2020,20334700,14
2019,20334800,21
2020,20334800,21
2019,20334900,22
2020,20334900,22
2019,20335100,8
2020,20335100,8
2019,20335200,2
2020,20335200,2
2019,20335300,4
2020,20335300,4
2019,20335400,0
2020,20335400,0
2019,20335500,1
2020,20335500,1
2019,20335600,0
2020,20335600,0
2019,20336100,65
2020,20336100,65
2019,20336200,6
2020,20336200,6
2019,20336300,12
2020,20336300,12
2019,20336400,3
2020,20336400,3
2019,20336500,7
2020,20336500,7
2019,20336600,7
2020,20336600,7
2019,20336700,12
2020,20336700,12
2019,20336800,5
2020,20336800,5
2019,20336900,47
2020,20336900,47
2019,20337100,44
2020,20337100,44
2019,20338100,1831
2020,20338100,1831
2019,20338200,1791
2020,20338200,1791
2019,20338300,12
2020,20338300,12
2019,20339100,3
2020,20339100,3
2019,20340100,55
2020,20340100,55
2019,20341100,42
2020,20341100,42
2019,20341200,61
2020,20341200,61
2019,20342100,136
2020,20342100,136
2019,20343100,34
2020,20343100,34
2019,20343200,58
2020,20343200,58
2019,20344100,67
2020,20344100,67
2019,20345100,50
2020,20345100,50
2019,20346100,38
2020,20346100,38
2019,20347100,187
2020,20347100,187
2019,20348100,639
2020,20348100,639
2019,20348200,663
2020,20348200,677
2019,20349100,25
2020,20349100,25
2019,20351100,663
2020,20351100,663
2019,20351200,960
2020,20351200,960
2019,20357100,110
2020,20357100,110
2019,20357200,1048
2020,20357200,1049
2019,20373100,55
2020,20373100,55
2019,20378100,58
2020,20378100,58
2019,20378200,5
2020,20378200,5
2019,20378300,22
2020,20378300,22
2019,20378400,51
2020,20378400,51
2019,20378500,10
2020,20378500,10
2019,20378600,21
2020,20378600,21
2019,20378700,2
2020,20378700,2
2019,20388100,66
2020,20388100,66
2019,20388200,26
2020,20388200,26
2019,20388300,78
2020,20388300,78
2019,20388400,284
2020,20388400,284
2019,20388500,258
2020,20388500,258
2019,20388600,47
2020,20388600,47
2019,20388700,5
2020,20388700,5
2019,20388800,35
2020,20388800,35
2019,20388900,396
2020,20388900,396
2019,20389100,86
2020,20389100,86
2019,20389200,503
2020,20389200,503
2019,20389300,228
2020,20389300,228
2019,20389400,576
2020,20389400,576
2019,20389500,280
2020,20389500,280
2019,20389600,20
2020,20389600,20
2019,20389700,173
2020,20389700,173
2019,20389800,115
2020,20389800,115
2019,20389900,44
2020,20389900,44
2019,20390100,3
2020,20390100,3
2019,20390200,6
2020,20390200,6
2019,20390300,3
2020,20390300,3
2019,20390400,5
2020,20390400,5
2019,20390500,0
2020,20390500,0
2019,20390600,0
2020,20390600,0
2019,20390700,0
2020,20390700,0
2019,20390800,123
2020,20390800,123
2019,20390900,6
2020,20390900,6
2019,20391100,465
2020,20391100,465
2019,20391200,156
2020,20391200,156
2019,20392100,509
2020,20392100,509
2019,20392200,35
2020,20392200,35
2019,20392300,20
2020,20392300,20
2019,20392400,38
2020,20392400,38
2019,20393100,11
2020,20393100,11
2019,20393200,36
2020,20393200,36
2019,20393300,30
2020,20393300,30
2019,20393400,2
2020,20393400,2
2019,20393500,209
2020,20393500,209
2019,20395100,175
2020,20395100,175
2019,20397100,119
2020,20397100,119
2019,20422100,617
2020,20422100,631
2019,20229100,1856
2020,20229100,1857
2019,20229200,198
2020,20229200,199
2019,20231100,465
2020,20231100,466
2019,20231200,411
2020,20231200,411
2019,20232100,185
2020,20232100,185
2019,20232200,316
2020,20232200,317
2019,20232300,773
2020,20232300,773
2019,20232400,557
2020,20232400,562
2019,20233100,2208
2020,20233100,2213
2019,20234100,285
2020,20234100,297
2019,20234200,383
2020,20234200,389
2019,20234300,1029
2020,20234300,1033
2019,20234400,622
2020,20234400,624
2019,20235100,670
2020,20235100,678
2019,20235200,1094
2020,20235200,1095
2019,20235300,586
2020,20235300,587
2019,20235400,508
2020,20235400,508
2019,20235500,275
2020,20235500,311
2019,20235600,586
2020,20235600,586
2019,20236100,463
2020,20236100,479
2019,20236200,266
2020,20236200,269
2019,20236300,237
2020,20236300,237
2019,20236400,681
2020,20236400,684
2019,20237100,47
2020,20237100,83
2019,20237200,1039
2020,20237200,1045
2019,20237300,576
2020,20237300,585
2019,20237400,1144
2020,20237400,1158
2019,20238100,358
2020,20238100,359
2019,20238200,752
2020,20238200,755
2019,20239100,1854
2020,20239100,1858
2019,20239200,324
2020,20239200,326
2019,20240100,586
2020,20240100,595
2019,20240200,731
2020,20240200,735
2019,20241100,1035
2020,20241100,1054
2019,20242100,578
2020,20242100,585
2019,20242200,525
2020,20242200,531
2019,20242300,482
2020,20242300,484
2019,20243100,492
2020,20243100,492
2019,20243200,534
2020,20243200,534
2019,20244100,322
2020,20244100,345
2019,20244200,544
2020,20244200,544
2019,20244300,710
2020,20244300,724
2019,20244400,157
2020,20244400,157
2019,20244500,313
2020,20244500,313
2019,20244600,975
2020,20244600,975
2019,20244700,639
2020,20244700,639
2019,20245100,1378
2020,20245100,1416
2019,20245200,853
2020,20245200,853
2019,20246100,611
2020,20246100,612
2019,20246200,151
2020,20246200,164
2019,20248100,443
2020,20248100,448
2019,20248200,961
2020,20248200,983
2019,20249100,370
2020,20249100,370
2019,20249200,658
2020,20249200,658
2019,20251100,266
2020,20251100,266
2019,20251200,389
2020,20251200,389
2019,20252100,584
2020,20252100,606
2019,20252200,810
2020,20252200,1144
2019,20252300,1137
2020,20252300,1140
2019,20253100,1151
2020,20253100,1171
2019,20253200,551
2020,20253200,551
2019,20253300,647
2020,20253300,648
2019,20254100,796
2020,20254100,799
2019,20255100,1302
2020,20255100,1304
2019,20255200,886
2020,20255200,888
2019,20255300,41
2020,20255300,42
2019,20256100,2438
2020,20256100,2447
2019,20257100,896
2020,20257100,897
2019,20257200,935
2020,20257200,940
2019,20258100,1773
2020,20258100,1773
2019,20258200,267
2020,20258200,267
2019,20260100,361
2020,20260100,361
2019,20260200,950
2020,20260200,951
2019,20260300,1628
2020,20260300,1630
2019,20261100,333
2020,20261100,333
2019,20261200,161
2020,20261200,166
2019,20261300,483
2020,20261300,487
2019,20263100,756
2020,20263100,762
2019,20263200,296
2020,20263200,300
2019,20263300,643
2020,20263300,649
2019,20263400,687
2020,20263400,688
2019,20265100,2544
2020,20265100,2547
2019,20266100,861
2020,20266100,864
2019,20266200,444
2020,20266200,444
2019,20267100,1248
2020,20267100,1251
2019,20267200,1802
2020,20267200,1868
2019,20268100,574
2020,20268100,574
2019,20268200,526
2020,20268200,526
2019,20269100,579
2020,20269100,579
2019,20270100,468
2020,20270100,468
2019,20272100,1326
2020,20272100,1327
2019,20274100,1271
2020,20274100,1271
2019,20274200,611
2020,20274200,613
2019,20276100,760
2020,20276100,769
2019,20289100,2
2020,20289100,2
2019,20289200,94
2020,20289200,94
2019,20289300,0
2020,20289300,0
2019,20289400,63
2020,20289400,63
2019,20289500,3
2020,20289500,3
2019,20289600,11
2020,20289600,11
2019,20289700,2
2020,20289700,2
2019,20290100,0
2020,20290100,0
2019,20290200,4
2020,20290200,4
2019,20290300,13
2020,20290300,13
2019,20290400,60
2020,20290400,60
2019,20290500,3
2020,20290500,3
2019,20290600,19
2020,20290600,19
2019,20290700,5
2020,20290700,5
2019,20290800,243
2020,20290800,243
2019,20291100,12
2020,20291100,12
2019,20291200,4
2020,20291200,4
2019,20291300,409
2020,20291300,409
2019,20291400,6
2020,20291400,6
2019,20291500,9
2020,20291500,9
2019,20291600,700
2020,20291600,700
2019,20291700,428
2020,20291700,428
2019,20291800,1276
2020,20291800,1276
2019,20291900,2
2020,20291900,2
2019,20292100,10
2020,20292100,10
2019,20292200,12
2020,20292200,12
2019,20292300,41
2020,20292300,41
2019,20292400,7
2020,20292400,7
2019,20292500,1
2020,20292500,1
2019,20292600,886
2020,20292600,886
2019,20292700,2
2020,20292700,2
2019,20292800,27
2020,20292800,27
2019,20292900,7
2020,20292900,7
2019,20293100,194
2020,20293100,194
2019,20293200,13
2020,20293200,13
2019,20293300,18
2020,20293300,18
2019,20293400,12
2020,20293400,12
2019,20293500,12
2020,20293500,12
2019,20293600,8
2020,20293600,8
2019,20294100,155
2020,20294100,155
2019,20294200,217
2020,20294200,217
2019,20294300,291
2020,20294300,291
2019,20294400,324
2020,20294400,324
2019,20294500,529
2020,20294500,529
2019,20294600,462
2020,20294600,462
2019,20295100,0
2020,20295100,0
2019,20296100,84
2020,20296100,84
2019,20296200,5
2020,20296200,5
2019,20296300,113
2020,20296300,113
2019,20296400,63
2020,20296400,63
2019,20296500,520
2020,20296500,520
2019,20296600,339
2020,20296600,339
2019,20296700,310
2020,20296700,310
2019,20296800,382
2020,20296800,382
2019,20296900,320
2020,20296900,320
2019,20297100,314
2020,20297100,314
2019,20297200,283
2020,20297200,283
2019,20297300,683
2020,20297300,684
2019,20297400,405
2020,20297400,407
2019,20297500,132
2020,20297500,132
2019,20297600,68
2020,20297600,68
2019,20298100,2
2020,20298100,2
2019,20298200,2
2020,20298200,2
2019,20298300,3
2020,20298300,3
2019,20298400,1
2020,20298400,1
2019,20298500,1
2020,20298500,1
2019,20298600,0
2020,20298600,0
2019,20298700,9
2020,20298700,9
2019,20299100,11
2020,20299100,11
2019,20299200,1
2020,20299200,1
2019,20299300,0
2020,20299300,0
2019,20299400,5
2020,20299400,5
2019,20299500,271
2020,20299500,271
2019,20299600,20
2020,20299600,20
2019,20299700,1
2020,20299700,1
2019,20299800,249
2020,20299800,249
2019,20299900,0
2020,20299900,0
2019,20300100,8
2020,20300100,8
2019,20300200,4
2020,20300200,4
2019,20300300,8
2020,20300300,8
2019,20300400,3
2020,20300400,3
2019,20300500,25
2020,20300500,25
2019,20300600,8
2020,20300600,8
2019,20300700,1
2020,20300700,1
2019,20300800,7
2020,20300800,7
2019,20301100,30
2020,20301100,30
2019,20301200,288
2020,20301200,288
2019,20301300,138
2020,20301300,138
2019,20301400,1154
2020,20301400,1154
2019,20301500,426
2020,20301500,426
2019,20301600,164
2020,20301600,164
2019,20302100,357
2020,20302100,357
2019,20302200,159
2020,20302200,159
2019,20302300,84
2020,20302300,84
2019,20302400,2
2020,20302400,2
2019,20302500,115
2020,20302500,115
2019,20303100,898
2020,20303100,898
