"year","TAZ","count"
2019,14078200,0
2020,14078200,0
2019,14079100,0
2020,14079100,0
2019,14079200,711
2020,14079200,702
2019,14079300,679
2020,14079300,671
2019,14080100,0
2020,14080100,0
2019,14080200,0
2020,14080200,0
2019,14081100,0
2020,14081100,0
2019,14082100,444
2020,14082100,439
2019,14083100,0
2020,14083100,0
2019,14083200,0
2020,14083200,0
2019,14084100,0
2020,14084100,0
2019,14084200,0
2020,14084200,0
2019,14084300,0
2020,14084300,0
2019,14084400,0
2020,14084400,0
2019,14084500,0
2020,14084500,0
2019,14085100,0
2020,14085100,0
2019,14085200,0
2020,14085200,0
2019,14086100,0
2020,14086100,0
2019,14086200,0
2020,14086200,0
2019,14086300,0
2020,14086300,0
2019,14087100,0
2020,14087100,0
2019,14088100,0
2020,14088100,0
2019,14088200,0
2020,14088200,0
2019,14088300,0
2020,14088300,0
2019,14089100,177
2020,14089100,175
2019,14089200,0
2020,14089200,0
2019,14090100,0
2020,14090100,0
2019,14090200,0
2020,14090200,0
2019,14090300,0
2020,14090300,0
2019,14091100,0
2020,14091100,0
2019,14091200,0
2020,14091200,0
2019,14092100,0
2020,14092100,0
2019,14093100,502
2020,14093100,496
2019,14094100,0
2020,14094100,0
2019,14094200,0
2020,14094200,0
2019,14095100,0
2020,14095100,0
2019,14095200,0
2020,14095200,0
2019,14096100,191
2020,14096100,188
2019,14096200,0
2020,14096200,0
2019,14097100,519
2020,14097100,513
2019,14097200,262
2020,14097200,258
2019,14098100,0
2020,14098100,0
2019,14098200,0
2020,14098200,0
2019,14099100,0
2020,14099100,0
2019,14100100,0
2020,14100100,0
2019,14101100,0
2020,14101100,0
2019,14101200,0
2020,14101200,0
2019,14102100,0
2020,14102100,0
2019,14103100,0
2020,14103100,0
2019,14104100,0
2020,14104100,0
2019,14105100,0
2020,14105100,0
2019,14105200,0
2020,14105200,0
2019,14106100,0
2020,14106100,0
2019,14106200,0
2020,14106200,0
2019,14106300,0
2020,14106300,0
2019,14106400,0
2020,14106400,0
2019,14106500,0
2020,14106500,0
2019,14107100,0
2020,14107100,0
2019,14107200,0
2020,14107200,0
2019,14108100,0
2020,14108100,0
2019,14109100,0
2020,14109100,0
2019,14109200,607
2020,14109200,600
2019,14109300,0
2020,14109300,0
2019,20211100,0
2020,20211100,0
2019,20212100,0
2020,20212100,0
2019,20212200,433
2020,20212200,421
2019,20213100,0
2020,20213100,0
2019,20213200,0
2020,20213200,0
2019,20213300,226
2020,20213300,220
2019,20214100,935
2020,20214100,908
2019,20214200,645
2020,20214200,627
2019,20214300,397
2020,20214300,385
2019,20214400,0
2020,20214400,0
2019,20214500,0
2020,20214500,0
2019,20214600,0
2020,20214600,0
2019,20214700,1573
2020,20214700,1528
2019,20215100,0
2020,20215100,0
2019,20215200,13
2020,20215200,13
2019,20215300,0
2020,20215300,0
2019,20216100,744
2020,20216100,722
2019,20216200,20
2020,20216200,20
2019,20216300,0
2020,20216300,0
2019,20216400,0
2020,20216400,0
2019,20217100,0
2020,20217100,0
2019,20217200,796
2020,20217200,773
2019,20217300,0
2020,20217300,0
2019,20217400,1927
2020,20217400,1872
2019,20217500,78
2020,20217500,76
2019,20218100,143
2020,20218100,139
2019,20218200,559
2020,20218200,543
2019,20219100,586
2020,20219100,569
2019,20219200,545
2020,20219200,529
2019,20220100,0
2020,20220100,0
2019,20220200,0
2020,20220200,0
2019,20221100,294
2020,20221100,286
2019,20221200,77
2020,20221200,75
2019,20221300,0
2020,20221300,0
2019,20222100,865
2020,20222100,840
2019,20222200,1210
2020,20222200,1175
2019,20222300,2549
2020,20222300,2476
2019,20223100,314
2020,20223100,305
2019,20224100,0
2020,20224100,0
2019,20224200,0
2020,20224200,0
2019,20225100,2473
2020,20225100,2402
2019,20226100,4617
2020,20226100,4484
2019,20227100,871
2020,20227100,846
2019,20228100,0
2020,20228100,0
2019,20229100,1620
2020,20229100,1573
2019,20229200,0
2020,20229200,0
2019,20230100,543
2020,20230100,527
2019,20231100,0
2020,20231100,0
2019,20231200,0
2020,20231200,0
2019,20232100,0
2020,20232100,0
2019,20232200,645
2020,20232200,627
2019,20232300,0
2020,20232300,0
2019,20232400,0
2020,20232400,0
2019,20233100,4375
2020,20233100,4249
2019,20234100,0
2020,20234100,0
2019,20234200,0
2020,20234200,0
2019,20234300,0
2020,20234300,0
2019,20234400,706
2020,20234400,686
2019,20235100,659
2020,20235100,640
2019,20235200,39
2020,20235200,37
2019,20235300,0
2020,20235300,0
2019,20235400,843
2020,20235400,819
2019,20235500,0
2020,20235500,0
2019,20235600,0
2020,20235600,0
2019,20236100,9
2020,20236100,9
2019,20236200,468
2020,20236200,454
2019,20236300,0
2020,20236300,0
2019,20236400,446
2020,20236400,433
2019,20237100,0
2020,20237100,0
2019,20237200,722
2020,20237200,701
2019,20237300,0
2020,20237300,0
2019,20237400,0
2020,20237400,0
2019,20238100,0
2020,20238100,0
2019,20238200,449
2020,20238200,436
2019,20239100,610
2020,20239100,592
