divorced
17909
18206
18565
19183
20257
21270
22332
23489
24707
26412
28378
29628
29628
31538
31877
33412
35130
37721
40734
44811
49497
54169
54169
52493
52493
49387
48419
46371
44352
41587
38379
34979
32361
29145
26324
23918
21735
19540
17728
16007
14764
13448
13448
13180
13180
12718
12718
