block_id,ln_total_hh,ln_total_jobs,ln_total_units,sum_acres,total_hh,total_jobs,total_units
060014271001001,2.3978952727983707,5.921578419643815,1.9459101490553132,19.69329307166544,10.0,372.0,6.0
060014271001002,0.0,2.197224577336219,0.0,0.182610715468289,0.0,8.0,0.0
060014271001003,2.0794415416798357,4.564348191467836,2.70805020110221,4.829917516296585,7.0,95.0,14.0
060014271001004,2.197224577336219,2.197224577336219,2.197224577336219,3.549418561551425,8.0,8.0,8.0
060014271001005,0.0,0.0,0.0,1.1122203387317575,0.0,0.0,0.0
060014271001006,1.6094379124341003,0.6931471805599453,0.6931471805599453,0.31654171382256857,4.0,1.0,1.0
060014271001007,2.70805020110221,3.1354942159291497,2.5649493574615367,4.69994020055055,14.0,22.0,12.0
060014271001008,0.0,2.772588722239781,0.0,0.6587823645987259,0.0,15.0,0.0
060014271001010,3.4011973816621555,2.197224577336219,3.4657359027997265,4.2712127427190465,29.0,8.0,31.0
060014271001011,1.6094379124341003,1.791759469228055,1.6094379124341003,0.332109339092531,4.0,5.0,4.0
060014271001012,0.0,0.0,0.0,0.12725915895286716,0.0,0.0,0.0
060014271001013,2.772588722239781,1.9459101490553132,2.4849066497880004,2.9921964189519774,15.0,6.0,11.0
060014271001014,1.6094379124341003,1.0986122886681096,1.0986122886681096,0.09192312064168269,4.0,2.0,2.0
060014271001015,0.0,0.0,0.6931471805599453,0.06943655080729257,0.0,0.0,1.0
060014271001016,2.3978952727983707,0.0,1.9459101490553132,2.608442100789254,10.0,0.0,6.0
060014271001017,0.0,0.0,0.6931471805599453,0.27305120513188,0.0,0.0,1.0
060014271001018,3.6109179126442243,2.197224577336219,3.737669618283368,5.90828444769525,36.0,8.0,41.0
060014271001019,0.0,0.6931471805599453,0.6931471805599453,0.5117547926046366,0.0,1.0,1.0
060014271001020,0.0,0.0,0.6931471805599453,0.5001408499429187,0.0,0.0,1.0
060014271001021,3.1354942159291497,0.6931471805599453,3.0910424533583156,2.6331526170907815,22.0,1.0,21.0
060014271001022,3.3672958299864737,1.6094379124341003,4.174387269895637,4.740465447285056,28.0,4.0,64.0
060014271001023,1.9459101490553132,0.0,1.791759469228055,0.23450279970149696,6.0,0.0,5.0
060014271001024,2.3978952727983707,3.295836866004329,2.3978952727983707,4.007304428618731,10.0,26.0,10.0
060014271001025,3.1354942159291497,0.6931471805599453,3.6109179126442243,2.2311125168649273,22.0,1.0,36.0
060014271001026,0.0,0.0,0.0,0.3926501040312736,0.0,0.0,0.0
060014271001027,0.0,1.6094379124341003,0.0,0.7212999708415907,0.0,4.0,0.0
060014271001028,3.1780538303479453,0.0,3.1780538303479453,2.305985381258556,23.0,0.0,23.0
060014271001029,1.9459101490553132,0.0,1.3862943611198906,0.2463638475262302,6.0,0.0,3.0
060014271001030,3.1780538303479453,0.0,3.1354942159291497,2.371221144294589,23.0,0.0,22.0
060014271001031,3.332204510175204,0.0,3.332204510175204,2.6502028733388356,27.0,0.0,27.0
060014271001032,0.0,0.0,0.0,0.11317416466099642,0.0,0.0,0.0
060014271001033,3.2580965380214817,2.3025850929940455,3.6635616461296463,4.272201163371108,25.0,9.0,38.0
060014271001034,0.0,0.0,0.6931471805599453,0.16926703666546408,0.0,0.0,1.0
060014271001035,0.0,0.0,1.0986122886681096,0.4949516415195979,0.0,0.0,2.0
